budget,dataset,mean_accuracy,mean_avg_actions,mean_avg_expansions,mean_avg_verifications,mean_budget_exhaustion_rate,method,n_rows,std_accuracy,std_avg_actions,stderr_accuracy,stderr_avg_actions
6,Hothan/OlympiadBench,0.3333333333333333,2.25,2.25,0.0,0.0,reasoning_greedy,3,0.14433756729740646,0.16666666666666652,0.08333333333333334,0.09622504486493755
6,Hothan/OlympiadBench,0.47222222222222227,6.0,4.222222222222222,1.7777777777777777,1.0,self_consistency_3,3,0.09622504486493764,0.0,0.055555555555555566,0.0
6,Hothan/OlympiadBench,0.6666666666666666,3.222222222222222,2.305555555555556,0.9166666666666666,0.16666666666666666,strict_coupled_tie_aware_promoted,3,0.16666666666666669,0.8910563851303023,0.09622504486493764,0.5144516438181149
6,Hothan/OlympiadBench,0.36111111111111116,6.0,3.0,3.0,1.0,verifier_guided_search,3,0.2097176232019653,0.0,0.12108052620946318,0.0
8,Hothan/OlympiadBench,0.5,4.444444444444444,2.777777777777778,1.6666666666666667,0.19444444444444442,adaptive_budget_guarded,3,0.0,0.9141379262169076,0.0,0.5277777777777779
8,Hothan/OlympiadBench,0.5833333333333334,3.9166666666666665,3.9166666666666665,0.0,0.05555555555555555,reasoning_beam2,3,0.16666666666666666,0.6291528696058958,0.09622504486493763,0.36324157862838946
8,Hothan/OlympiadBench,0.5,2.361111111111111,2.361111111111111,0.0,0.0,reasoning_greedy,3,0.08333333333333334,0.12729376930432887,0.04811252243246882,0.07349309197401639
8,Hothan/OlympiadBench,0.5555555555555555,7.833333333333333,5.583333333333333,2.25,0.861111111111111,self_consistency_3,3,0.0962250448649376,0.08333333333333348,0.055555555555555546,0.0481125224324689
8,Hothan/OlympiadBench,0.5,4.444444444444444,2.777777777777778,1.6666666666666667,0.19444444444444442,strict_coupled_tie_aware_promoted,3,0.0,0.9141379262169076,0.0,0.5277777777777779
8,Hothan/OlympiadBench,0.3611111111111111,6.0,3.0,3.0,0.0,verifier_guided_search,3,0.048112522432468836,0.0,0.027777777777777794,0.0
10,Hothan/OlympiadBench,0.4444444444444444,5.805555555555556,3.055555555555556,2.75,0.22222222222222224,adaptive_budget_guarded,3,0.19245008972987526,1.0584754935143144,0.11111111111111112,0.6111111111111114
10,Hothan/OlympiadBench,0.6111111111111112,4.388888888888888,4.388888888888888,0.0,0.0,reasoning_beam2,3,0.1272937693043289,0.6028481781725195,0.07349309197401642,0.3480545579483796
10,Hothan/OlympiadBench,0.3611111111111111,2.1666666666666665,2.1666666666666665,0.0,0.0,reasoning_greedy,3,0.048112522432468836,0.22047927592204924,0.027777777777777794,0.12729376930432892
10,Hothan/OlympiadBench,0.75,8.416666666666666,5.527777777777779,2.888888888888889,0.25,self_consistency_3,3,0.08333333333333337,0.30046260628866595,0.048112522432468836,0.17347216662217785
10,Hothan/OlympiadBench,0.4444444444444444,5.805555555555556,3.055555555555556,2.75,0.22222222222222224,strict_coupled_tie_aware_promoted,3,0.19245008972987526,1.0584754935143144,0.11111111111111112,0.6111111111111114
10,Hothan/OlympiadBench,0.5555555555555555,7.805555555555556,4.8055555555555545,3.0,0.0,verifier_guided_search,3,0.12729376930432887,0.25458753860865824,0.07349309197401639,0.1469861839480331
6,HuggingFaceH4/MATH-500,0.4166666666666667,3.0,2.111111111111111,0.8888888888888888,0.16666666666666666,adaptive_budget_guarded,3,0.14433756729740643,0.2204792759220492,0.08333333333333333,0.12729376930432887
6,HuggingFaceH4/MATH-500,0.4444444444444444,4.083333333333333,4.083333333333333,0.0,0.27777777777777773,reasoning_beam2,3,0.09622504486493764,0.30046260628866567,0.055555555555555566,0.17347216662217768
6,HuggingFaceH4/MATH-500,0.3333333333333333,2.111111111111111,2.111111111111111,0.0,0.0,reasoning_greedy,3,0.14433756729740646,0.26787918780535974,0.08333333333333334,0.15466012118972278
6,HuggingFaceH4/MATH-500,0.47222222222222227,6.0,4.305555555555556,1.6944444444444444,1.0,self_consistency_3,3,0.12729376930432892,0.0,0.07349309197401643,0.0
6,HuggingFaceH4/MATH-500,0.4166666666666667,3.0,2.111111111111111,0.8888888888888888,0.16666666666666666,strict_coupled_tie_aware_promoted,3,0.14433756729740643,0.2204792759220492,0.08333333333333333,0.12729376930432887
6,HuggingFaceH4/MATH-500,0.3333333333333333,6.0,3.0,3.0,1.0,verifier_guided_search,3,0.16666666666666669,0.0,0.09622504486493764,0.0
8,HuggingFaceH4/MATH-500,0.27777777777777773,4.388888888888889,2.888888888888889,1.5,0.16666666666666666,adaptive_budget_guarded,3,0.0481125224324688,0.3757708127352412,0.027777777777777773,0.21695137988629598
8,HuggingFaceH4/MATH-500,0.5555555555555556,3.75,3.75,0.0,0.0,reasoning_beam2,3,0.20971762320196527,0.6508541396588879,0.12108052620946316,0.37577081273524127
8,HuggingFaceH4/MATH-500,0.3888888888888889,1.888888888888889,1.888888888888889,0.0,0.0,reasoning_greedy,3,0.1272937693043289,0.1272937693043289,0.07349309197401642,0.07349309197401642
8,HuggingFaceH4/MATH-500,0.5277777777777778,7.722222222222222,5.305555555555556,2.4166666666666665,0.7777777777777777,self_consistency_3,3,0.2097176232019653,0.0962250448649373,0.12108052620946318,0.05555555555555537
8,HuggingFaceH4/MATH-500,0.27777777777777773,4.388888888888889,2.888888888888889,1.5,0.16666666666666666,strict_coupled_tie_aware_promoted,3,0.0481125224324688,0.3757708127352412,0.027777777777777773,0.21695137988629598
8,HuggingFaceH4/MATH-500,0.3055555555555555,6.0,3.0,3.0,0.0,verifier_guided_search,3,0.0481125224324688,0.0,0.027777777777777773,0.0
10,HuggingFaceH4/MATH-500,0.5277777777777778,5.444444444444444,3.0277777777777772,2.4166666666666665,0.19444444444444442,adaptive_budget_guarded,3,0.17347216662217774,2.1478887135803673,0.10015420209622193,1.240084126974984
10,HuggingFaceH4/MATH-500,0.5833333333333334,4.138888888888888,4.138888888888888,0.0,0.0,reasoning_beam2,3,0.08333333333333331,0.41943524640393043,0.04811252243246881,0.24216105241892627
10,HuggingFaceH4/MATH-500,0.3611111111111111,1.861111111111111,1.861111111111111,0.0,0.0,reasoning_greedy,3,0.26787918780535985,0.048112522432468906,0.15466012118972283,0.027777777777777832
